decade,explicit,songLength_ms_,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,timeSignature,mode,valence,popularity
12,1,135122,0.00534,0.684,0.693,0,4,0.506,-6.651,0.0339,134.988,4,0,0.108,78
12,0,366004,0.858,0.366,0.364,1.15e-05,0,0.165,-7.814,0.0433,165.902,4,1,0.459,82
12,0,159381,0.123,0.785,0.431,0,10,0.0887,-8.756,0.0364,127.085,4,0,0.236,84
12,1,193293,0.084,0.712,0.556,5.04e-05,5,0.527,-7.214,0.0531,90.494,4,0,0.22,78
12,1,197760,0.114,0.825,0.458,0,0,0.102,-7.47,0.0577,145.115,4,1,0.161,78
12,1,150527,0.00194,0.773,0.623,0,2,0.133,-5.267,0.196,153.1,4,1,0.13,77
12,1,210906,0.838,0.767,0.313,0,7,0.105,-12.059,0.0798,82.582,4,1,0.765,80
12,0,239560,0.537,0.613,0.581,0.000345,0,0.25,-8.588,0.0424,130.033,4,0,0.551,81
12,1,175333,0.00196,0.618,0.605,0,1,0.46,-6.839,0.35,146.514,4,1,0.494,78
12,1,270670,0.107,0.615,0.6,1.61e-06,10,0.283,-5.62,0.27,130.027,4,1,0.0661,76
12,1,257428,0.138,0.596,0.65,0,9,0.14,-5.167,0.337,133.997,4,1,0.188,77
12,0,190680,0.723,0.532,0.584,0,8,0.101,-5.254,0.0248,88.003,4,1,0.367,75
12,0,201882,0.36,0.487,0.534,0,0,0.1,-5.664,0.0555,131.798,4,0,0.173,81
12,1,139728,0.0485,0.669,0.629,0,1,0.346,-6.032,0.0657,125.935,4,0,0.683,80
12,1,127464,0.674,0.333,0.498,6.51e-06,2,0.12,-9.121,0.0468,87.082,4,0,0.427,80
12,0,228482,0.223,0.597,0.45,0,8,0.382,-6.658,0.0418,178.765,3,1,0.537,86
12,1,168030,0.0021,0.39,0.83,0,11,0.156,-5.201,0.0563,90.021,4,0,0.191,78
12,1,222225,0.0196,0.717,0.444,0.000315,1,0.114,-11.126,0.18,124.685,4,1,0.116,77
12,0,215140,0.18,0.519,0.552,0,2,0.149,-5.023,0.0259,89.957,4,1,0.331,76
12,1,173677,0.237,0.701,0.725,0,9,0.159,-5.75,0.0488,144.989,4,1,0.537,78
12,0,132000,0.922,0.483,0.0394,0.0125,4,0.112,-19.525,0.0537,73.984,4,1,0.146,80
12,1,234333,0.277,0.817,0.775,0,10,0.108,-4.767,0.108,126.984,4,0,0.806,81
12,0,145899,0.355,0.813,0.608,8.56e-06,7,0.0963,-9.918,0.169,149.251,4,1,0.0512,77
12,1,190331,0.349,0.825,0.733,0,1,0.112,-5.625,0.0969,97.974,4,0,0.62,77
12,1,175877,0.316,0.832,0.656,2.13e-06,4,0.108,-7.492,0.375,100.032,4,0,0.562,77
12,0,260776,0.759,0.678,0.355,7.06e-05,10,0.114,-7.757,0.0627,119.772,3,0,0.438,79
12,1,273474,0.207,0.659,0.688,0,6,0.113,-4.649,0.0673,153.979,4,1,0.632,90
