explicit,songLength_ms_,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,timeSignature,mode,valence,popularity
0,225053,0.4,0.63,0.53,0,0,0.177,-7.259,0.0434,108.038,3,1,0.417,81
0,210240,0.491,0.772,0.256,0.00612,7,0.144,-8.545,0.0481,118.902,3,0,0.357,79
0,260079,0.426,0.906,0.731,4.55e-06,6,0.0853,-7.021,0.0977,106.995,4,0,0.794,83
0,199386,0.659,0.551,0.386,0,0,0.125,-10.22,0.132,116.409,1,1,0.245,78
1,218348,0.00966,0.709,0.662,0,8,0.108,-4.55,0.0766,150.046,4,1,0.439,76
0,102813,0.856,0.372,0.239,0.000175,6,0.168,-11.314,0.0296,113.451,4,0,0.127,76
1,179449,0.407,0.791,0.587,0,3,0.148,-5.075,0.0413,96.057,4,0,0.536,76
1,188320,0.155,0.746,0.687,0,1,0.137,-7.475,0.382,143.931,4,1,0.283,76
1,166343,0.317,0.721,0.508,0,7,0.153,-7.496,0.394,159.911,4,1,0.457,75
1,196373,0.697,0.553,0.586,0,11,0.0813,-6.319,0.0362,126.684,4,1,0.443,83
0,249320,0.345,0.543,0.449,0,1,0.157,-8.065,0.0463,132.609,4,1,0.29,76
0,248346,0.0027,0.477,0.483,0.783,4,0.156,-9.413,0.0364,170.026,4,0,0.123,82
0,209160,0.0702,0.729,0.65,6.69e-05,5,0.0829,-3.539,0.0313,110.02,4,1,0.347,75
1,176531,0.046,0.87,0.498,0,9,0.146,-8.339,0.0622,110.017,4,0,0.692,76
1,203881,0.0509,0.676,0.578,0,10,0.0796,-4.669,0.375,158.896,4,0,0.698,76
0,220800,0.0338,0.663,0.861,0,7,0.082,-3.398,0.109,119.963,4,0,0.654,81
0,212606,0.374,0.732,0.463,0,11,0.194,-6.972,0.0287,95.971,4,0,0.397,83
1,196693,0.00256,0.618,0.717,0,7,0.625,-5.738,0.318,190.05,4,1,0.603,77
1,211013,0.019,0.822,0.654,0,0,0.233,-4.623,0.132,119.884,4,1,0.421,77
0,177493,0.153,0.546,0.465,0.00259,5,0.321,-8.167,0.0287,73.369,4,1,0.415,78
1,141586,0.0484,0.656,0.542,0,7,0.126,-7.358,0.323,166.111,4,1,0.551,76
1,231400,0.491,0.577,0.523,0,0,0.147,-5.538,0.0429,134.93,4,0,0.29,76
1,143226,0.603,0.726,0.408,0,11,0.225,-6.606,0.0614,115.918,4,0,0.459,77
0,202546,0.744,0.685,0.391,0,1,0.142,-7.183,0.0435,87.101,4,1,0.443,82
0,208280,0.0468,0.604,0.879,0,4,0.0909,-3.388,0.0322,137.983,4,1,0.757,73
1,138426,0.222,0.884,0.445,0,1,0.112,-10.58,0.418,125.008,4,0,0.851,77
1,226040,0.648,0.749,0.398,1.26e-06,5,0.115,-7.44,0.171,80.032,4,0,0.0859,75
1,174853,0.456,0.548,0.653,0,5,0.103,-3.875,0.081,150.068,4,1,0.163,80
1,272186,0.242,0.4,0.366,0,8,0.126,-9.405,0.0597,73.313,3,0,0.161,76
1,201787,0.367,0.61,0.725,0,8,0.154,-5.131,0.15,146.163,4,1,0.291,78
0,264826,0.934,0.282,0.101,5.05e-05,7,0.159,-14.657,0.0315,83.13,4,1,0.141,73
1,179613,0.228,0.665,0.498,0,5,0.0757,-8.185,0.0832,81.967,4,1,0.127,79
1,155720,0.217,0.756,0.609,0.00474,3,0.096,-7.927,0.0544,117.023,4,1,0.537,78
0,192480,0.822,0.567,0.311,0.23,2,0.11,-14.464,0.0455,83.11,4,0,0.478,74
0,219200,0.0561,0.648,0.785,0,7,0.148,-5.414,0.165,160.02,4,1,0.943,73
0,188253,0.00898,0.612,0.799,0,10,0.172,-4.603,0.0275,125.976,4,1,0.687,74
0,198440,0.749,0.655,0.56,0,9,0.115,-6.857,0.0486,140.975,4,1,0.599,74
1,222374,0.443,0.656,0.432,0,6,0.132,-9.481,0.217,97.022,4,0,0.0897,78
0,170240,0.00347,0.398,0.493,0.000157,9,0.106,-9.561,0.0303,82.048,4,1,0.412,77
1,156081,0.0735,0.844,0.533,3.46e-06,1,0.0953,-9.612,0.552,140.078,4,1,0.23,75
0,208960,0.0191,0.457,0.948,0,10,0.0536,-3.364,0.0354,148,4,1,0.878,73
1,165000,0.462,0.699,0.558,0,11,0.116,-7.622,0.0603,79.992,4,1,0.493,79
0,203569,0.737,0.483,0.412,0,7,0.116,-8.461,0.0402,170.163,3,1,0.247,81
1,238306,0.194,0.598,0.252,0.133,2,0.0992,-15.086,0.0644,120.064,4,1,0.0352,77
1,242013,0.0205,0.844,0.601,0,1,0.385,-5.283,0.157,73.989,4,1,0.331,75
1,204533,0.449,0.453,0.538,0,1,0.19,-8.212,0.0638,122.973,4,1,0.516,77
1,142417,0.0957,0.97,0.463,0,10,0.151,-7.259,0.366,108.003,4,1,0.46,74
0,197253,0.0813,0.589,0.882,0,6,0.146,-3.039,0.035,129.915,4,1,0.793,73
1,230693,0.468,0.631,0.774,0,11,0.281,-2.459,0.3,79.745,4,1,0.44,74
1,220537,0.00821,0.461,0.897,0,3,0.0965,-3.982,0.092,165.107,4,0,0.358,77
0,209831,0.808,0.524,0.364,0,7,0.1,-10.209,0.0367,75.24,4,1,0.436,79
0,214240,0.0401,0.728,0.859,0,5,0.111,-5.237,0.137,65.043,4,0,0.535,82
1,197546,0.0233,0.602,0.658,6e-05,1,0.237,-5.934,0.0558,145.031,4,1,0.268,82
0,171093,0.785,0.594,0.389,0,10,0.0313,-7.109,0.0517,122.331,4,1,0.396,82
1,191399,0.00165,0.729,0.73,4.33e-05,11,0.118,-5.14,0.261,156.953,4,0,0.41,74
0,257720,0.337,0.576,0.835,0,2,0.082,-6.826,0.0486,150.017,4,1,0.476,72
